device,activeDuration,bestScore,bestScoreIndex,bestSubMeanCount,bestSubMeanRatio,consecutivePlayRatio,meanScore,playCount,sdScore,worstScore,firstPlayTime,lastPlayTime,individualOPEnd,individualCPEnd,playsInCP,is_churned,observationPeriodDays,churnPredictionDays
351508061516545,27.666944444444443,345,0.3333333333333333,43.22222222222222,0.6021671826625387,1.0,215.33333333333334,3,123.12730539296851,100,2015-02-26 06:43:03,2015-02-27 10:23:04,2015-03-03 06:43:03,2015-03-13 06:43:03,0,1,5,10
351508061544935,5.6722222222222225,708,0.0,90.55555555555556,0.622612681436211,1.0,436.3333333333333,3,236.87197667375796,273,2016-05-22 06:07:52,2016-05-22 11:48:12,2016-05-27 06:07:52,2016-06-06 06:07:52,0,1,5,10
351508061549900,0.0,423,0.0,0.0,0.0,0.0,423.0,1,0.0,423,2015-07-26 00:02:28,2015-07-26 00:02:28,2015-07-31 00:02:28,2015-08-10 00:02:28,0,1,5,10
351508061593015,0.0,117,0.0,0.0,0.0,0.0,117.0,1,0.0,117,2016-01-27 01:55:14,2016-01-27 01:55:14,2016-02-01 01:55:14,2016-02-11 01:55:14,0,1,5,10
351508061627144,0.0,329,0.0,0.0,0.0,0.0,329.0,1,0.0,329,2016-01-25 01:19:11,2016-01-25 01:19:11,2016-01-30 01:19:11,2016-02-09 01:19:11,0,1,5,10
351508061633779,0.01611111111111111,113,0.5,17.75,0.45806451612903226,1.0,77.5,2,50.204581464244875,42,2015-11-23 13:42:44,2015-11-23 13:43:42,2015-11-28 13:42:44,2015-12-08 13:42:44,0,1,5,10
351508061638018,0.0,654,0.0,0.0,0.0,0.0,654.0,1,0.0,654,2016-01-31 07:49:29,2016-01-31 07:49:29,2016-02-05 07:49:29,2016-02-15 07:49:29,0,1,5,10
351508061654486,0.04666666666666667,595,0.5,26.75,0.09879963065558633,1.0,541.5,2,75.66042558696059,488,2015-02-08 14:45:23,2015-02-08 14:48:11,2015-02-13 14:45:23,2015-02-23 14:45:23,0,1,5,10
351508061671969,0.0,923,0.0,0.0,0.0,0.0,923.0,1,0.0,923,2015-04-12 02:35:18,2015-04-12 02:35:18,2015-04-17 02:35:18,2015-04-27 02:35:18,0,1,5,10
351508061696875,0.0,1338,0.0,0.0,0.0,0.0,1338.0,1,0.0,1338,2016-02-08 04:03:51,2016-02-08 04:03:51,2016-02-13 04:03:51,2016-02-23 04:03:51,0,1,5,10
351508061703457,0.0,80,0.0,0.0,0.0,0.0,80.0,1,0.0,80,2015-02-17 07:27:54,2015-02-17 07:27:54,2015-02-22 07:27:54,2015-03-04 07:27:54,0,1,5,10
351508061705312,0.05333333333333334,754,0.5,66.75,0.21514907332796132,1.0,620.5,2,188.79751057680818,487,2015-03-24 08:15:05,2015-03-24 08:18:17,2015-03-29 08:15:05,2015-04-08 08:15:05,0,1,5,10
351508061705494,0.010277777777777778,108,0.0,19.5,0.5652173913043478,1.0,69.0,2,55.154328932550705,30,2015-09-14 11:45:41,2015-09-14 11:46:18,2015-09-19 11:45:41,2015-09-29 11:45:41,0,1,5,10
351508061742158,0.01888888888888889,36,0.5,5.75,0.46938775510204084,1.0,24.5,2,16.263455967290593,13,2016-01-02 03:52:53,2016-01-02 03:54:01,2016-01-07 03:52:53,2016-01-17 03:52:53,0,1,5,10
351508061758261,0.0,403,0.0,0.0,0.0,0.0,403.0,1,0.0,403,2015-09-11 22:47:57,2015-09-11 22:47:57,2015-09-16 22:47:57,2015-09-26 22:47:57,0,1,5,10
351508061783715,0.0,896,0.0,0.0,0.0,0.0,896.0,1,0.0,896,2016-02-12 07:20:19,2016-02-12 07:20:19,2016-02-17 07:20:19,2016-02-27 07:20:19,0,1,5,10
351508061889454,0.055,72,0.0,12.625,2.3488372093023258,1.0,21.5,4,33.74907406137241,3,2015-08-13 13:28:04,2015-08-13 13:31:22,2015-08-18 13:28:04,2015-08-28 13:28:04,0,1,5,10
351508061908908,0.0,101,0.0,0.0,0.0,0.0,101.0,1,0.0,101,2015-08-02 03:53:56,2015-08-02 03:53:56,2015-08-07 03:53:56,2015-08-17 03:53:56,1,0,5,10
351508061977994,59.52638888888889,437,0.0,21.75,0.11054637865311309,0.0,393.5,2,61.518289963229634,350,2015-04-05 01:57:30,2015-04-07 13:29:05,2015-04-10 01:57:30,2015-04-20 01:57:30,0,1,5,10
351508061980147,0.0,1698,0.0,0.0,0.0,0.0,1698.0,1,0.0,1698,2015-08-14 09:04:28,2015-08-14 09:04:28,2015-08-19 09:04:28,2015-08-29 09:04:28,0,1,5,10
351508061989486,45.82472222222222,937,0.6666666666666666,159.88888888888889,1.0488338192419826,0.5,457.3333333333333,3,446.42169899472105,54,2015-02-19 04:52:23,2015-02-21 02:41:52,2015-02-24 04:52:23,2015-03-06 04:52:23,0,1,5,10
351508062018830,0.0,14,0.0,0.0,0.0,0.0,14.0,1,0.0,14,2016-01-09 17:00:17,2016-01-09 17:00:17,2016-01-14 17:00:17,2016-01-24 17:00:17,0,1,5,10
351508062079642,0.0,2041,0.0,0.0,0.0,0.0,2041.0,1,0.0,2041,2015-01-26 14:08:14,2015-01-26 14:08:14,2015-01-31 14:08:14,2015-02-10 14:08:14,0,1,5,10
351508062105389,45.16916666666667,965,0.7272727272727273,42.388429752066116,0.9349252643091505,0.9,498.72727272727275,11,280.9872206735,52,2016-01-20 19:21:31,2016-01-22 16:31:40,2016-01-25 19:21:31,2016-02-04 19:21:31,0,1,5,10
351508062199671,0.5441666666666667,1035,0.5,104.0,0.25151148730350664,1.0,827.0,2,294.15642097360376,619,2015-09-25 10:14:09,2015-09-25 10:46:48,2015-09-30 10:14:09,2015-10-10 10:14:09,0,1,5,10
351508062212268,0.0,1027,0.0,0.0,0.0,0.0,1027.0,1,0.0,1027,2016-04-19 17:07:36,2016-04-19 17:07:36,2016-04-24 17:07:36,2016-05-04 17:07:36,0,1,5,10
351508062251498,0.0,77,0.0,0.0,0.0,0.0,77.0,1,0.0,77,2015-12-31 12:34:49,2015-12-31 12:34:49,2016-01-05 12:34:49,2016-01-15 12:34:49,0,1,5,10
351508062276123,0.0,892,0.0,0.0,0.0,0.0,892.0,1,0.0,892,2015-11-21 16:15:11,2015-11-21 16:15:11,2015-11-26 16:15:11,2015-12-06 16:15:11,0,1,5,10
351508062286643,0.0,347,0.0,0.0,0.0,0.0,347.0,1,0.0,347,2015-12-20 12:53:26,2015-12-20 12:53:26,2015-12-25 12:53:26,2016-01-04 12:53:26,0,1,5,10
351508062294977,0.0,3,0.0,0.0,0.0,0.0,3.0,1,0.0,3,2016-02-19 18:47:19,2016-02-19 18:47:19,2016-02-24 18:47:19,2016-03-05 18:47:19,0,1,5,10
351508062296253,1.1319444444444444,41,0.0,4.08,0.9902912621359222,1.0,20.6,5,15.05988047761336,0,2015-12-18 22:30:07,2015-12-18 23:38:02,2015-12-23 22:30:07,2016-01-02 22:30:07,1,0,5,10
351508062323834,0.029722222222222223,16,0.0,1.5,0.23076923076923078,1.0,13.0,2,4.242640687119285,10,2016-04-10 11:17:38,2016-04-10 11:19:25,2016-04-15 11:17:38,2016-04-25 11:17:38,0,1,5,10
351508062839060,0.0,162,0.0,0.0,0.0,0.0,162.0,1,0.0,162,2015-12-20 11:54:41,2015-12-20 11:54:41,2015-12-25 11:54:41,2016-01-04 11:54:41,0,1,5,10
351509060025694,0.0,3,0.0,0.0,0.0,0.0,3.0,1,0.0,3,2015-09-28 13:40:03,2015-09-28 13:40:03,2015-10-03 13:40:03,2015-10-13 13:40:03,0,1,5,10
